title,description,keywords,url
Human Evolution,Talk given by Prof. Darrel Falk as part of Summer Course 3,evolution; falk; faraday; human; religion; science,https://sms.cam.ac.uk/media/2765883
Human Evolution and Moral Freedom,Talk given by Dr David Lahti as part of Summer Course 11,evolution; faraday; freedom; human; lahti; moral; religion; science,https://sms.cam.ac.uk/media/2311479
Human Evolution (for Church Leaders),"Talk given by Prof. Darrel Falk as part of the Church Leaders' Course, November 2008",bible; christian; church; evolution; falk; faraday; human; religion; science,https://sms.cam.ac.uk/media/2765922
Human Genetics and the Image of God,Talk given by Dr Graeme Finlay,faraday; finlay; genes; genetics; god; human; image; religion; science,https://sms.cam.ac.uk/media/2319518
Human Genetics and the Image of God,Public lecture given by Dr Graeme Finlay,faraday; finlay; genetics; god; human; image; religion; science,https://sms.cam.ac.uk/media/1208800
Human Identity in a Scientific World,Public Lecture given by Lord Rowan Williams,christianity; faith; faraday; identity; science; williams,https://sms.cam.ac.uk/media/2862195
Human Responsibility for the Environment in a Fallen World,Talk given by Revd Margot Hodon as part of summer course 1,environment; fallen; faraday; hodson; human; religion; responsibility; science; world,https://sms.cam.ac.uk/media/1274586
"Identity, Self-Esteem and the Image of God",Public Leture given by Prof. Glynn Harrison on 13th January 2015,faraday; god; harrison; identity; image of god; religion; science; self-esteem,https://sms.cam.ac.uk/media/1884252
"If the evolution of intelligence is inevitable, what are the theological implications?",Research seminar given by Prof. Simon Conway Morris,convergence; conway morris; evolution; faraday; intelligence; religion; science; theology,https://sms.cam.ac.uk/media/2715306
Imaging Belief States in Pain and Religion,CiS - Faraday Public Lecture given by Prof Irene Tracey on 27th November 2015,faraday; pain; religion; science; tracey,https://sms.cam.ac.uk/media/2123085
Imaging the Religious Brain: What can brain imaging tell us about religion,Lecture given by Revd Dr Alasdair Coles as part of Short Course 18,alasdair; brain; brain imaging; coles; faraday; faraday institute; religion; science,https://sms.cam.ac.uk/media/1073510
Infanticide on demand: why should the baby live? Medical ethics for children,"Research seminar given by Dr Richard Hain on 18th February 2014
Erratum: Peter Singer is at Princeton and not Harvard as suggested in this talk",baby; children; demand; ethics; faraday; hain; infanticide; live; medical; religion; science,https://sms.cam.ac.uk/media/1659564
"Information, Biological Complexity and Emergence","Faraday Institute Research Seminar given by Prof. Gennaro Auletta (Pontifical Gregorian University, Rome) on 6th October 2009",auletta; biological; complexity; emergence; faraday institute; gennaro; information; religion; research seminar; science,https://sms.cam.ac.uk/media/679805
Interpretations of Quantum Theory and their Implications for Theology,Talk given by Prof. Gerard Nienhuis as part of short course 6,faraday; god; implication; interpretation; nienhuis; physics; quantum; religion; science; theology; theory,https://sms.cam.ac.uk/media/1257208
Interpreting the Creation Narratives in Genesis 1-3,"Talk given by Dr John Bimson as Summer Course 8,7-13th July 2013",bimson; creation; faraday; genesis; religion; science,https://sms.cam.ac.uk/media/1557926
Intersections between Religion and Science in Early Medieval Ireland,Research seminar given by Dr Elizabeth Boyle,boyle; faraday; history; intersections; ireland; medieval; religion; science,https://sms.cam.ac.uk/media/1328604
Introducing Science and Religion,Talk given by Prof. Bob White as part of Summer Course 12,christianity; faraday; introduction; religion; science; white,https://sms.cam.ac.uk/media/2533261
Introduction to Lemaitre,Opening speech given by Lord Martin Rees to the Lemaitre Conference on 7 April 2011,faraday; introduction; lemaitre; rees; religion; science,https://sms.cam.ac.uk/media/1131575
Is Biological Evolution Inevitable?,Talk given by Prof. Simon Conway Morris as part of short course 7,biological; conway morris; evolution; faraday; inevitable; religion; science,https://sms.cam.ac.uk/media/1229174
Is God a Virus?,Talk given by Dr Denis Alexander as part of Summer Course 2 (2007),alexander; faraday; god; religion; science; virus,https://sms.cam.ac.uk/media/2752564
Is God Complex?,Talk given by Revd Dr Patrick Richmond as part of summer course 2,complex; faraday; god; religion; richmond; science,https://sms.cam.ac.uk/media/1250857
Is Happiness in our Genes?,Research Seminar from Dr Michael Pluess,faraday; genes; happiness; pluess; religion; science; society,https://sms.cam.ac.uk/media/2372795
Is Human Behaviour in the Genes?,Lecture given by Dr David Lahti as part of Summer Course 6,6; behaviour; faraday; genes; genetic; human; lahti; religion; science,https://sms.cam.ac.uk/media/1162612
Islam and Evolution,Talk given by Dr Usama Hasan as part of Summer Course 11,evolution; faraday; hasan; islam; religion; science,https://sms.cam.ac.uk/media/2328452
Islam and Evolution: Is there a controversy?,"Lecture given by Dr Rana Dajani, February 2015",biology; controversy; dajani; evolution; faraday; islam; religion; science,https://sms.cam.ac.uk/media/1916165
Islam and Modern Science,Lecture given by Prof. Nidhal Guessoum as part of Summer Course 6,6; faraday; guessoum; islam; nidhal; religion; science,https://sms.cam.ac.uk/media/1160086
Islam and Modern Science: conflict or harmony?,"Talk given by Prof Nidhal Guessoum as part of the Faraday Institute Summer Course 8, 7-13th July 2013",faraday; guessoum; islam; religion; science,https://sms.cam.ac.uk/media/1561444
Islam and Science Today,A lecture by Prof. Nidhal Guessoum as part of Faraday Institute Summer Course 4,faraday institute; guessoum; islam; nidhal; religion; science; today,https://sms.cam.ac.uk/media/656444
Islam and Science Yesterday,A lecture given by Prof. Nidhal Guessoum as part of Faraday Institute Summer Course 4,faraday institute; guessoum; history; islam; nidhal; religion; science; yesterday,https://sms.cam.ac.uk/media/654833
Is Reality Really Real?,"Talk given by Prof. Andrew Briggs as part of the Physics and Faith course, 25 November 2017",briggs; faith; faraday; philosophy; physics; quantum mechanics; reality; religion; science,https://sms.cam.ac.uk/media/2648657
Is Teleology still a Useful Concept in Biology?,"Research Seminar 5th March 2013
Dr Harvey McMahon FRS",biology; faraday; mcmahon; religion; science; teleology,https://sms.cam.ac.uk/media/1451697
Is the Human Brain Hard-Wired for Faith?,Talk given by Prof. Stephanie Clarke as part of Summer Course 13,brain; clarke; faith; faraday; god; hard-wired; religion; science,https://sms.cam.ac.uk/media/2800917
Is there a place at the science-religion table for mathematics?,Research Seminar given by Prof. Doug Kindschi on 19 April 2016,faraday; kindschi; mathematics; maths; religion; science,https://sms.cam.ac.uk/media/2234978
Is the Universe Designed?,Talk given by Revd Prof. David Wilkinson as part of Summer Course 10,designed; faraday; god; religion; science; universe; wilkinson,https://sms.cam.ac.uk/media/2037981
Is the Universe Designed?,Lecture given by Revd Dr Rodney Holder as part of short course 20 on 11th January 2012,design; faraday; holder; religion; science; universe,https://sms.cam.ac.uk/media/1205812
Is the Universe Designed?,Talk given by Revd Dr Rodney Holder as part of Short Course 38: Science and Faith in the Local Church,creation; design; faraday; holder; religion; science; universe,https://sms.cam.ac.uk/media/2409240
Is the Universe Designed? - an Atheist's View,"Talk given by Dr Stephen Law as part of the science, religion and atheism course",atheism; atheist; design; designed; designer; faraday; law; religion; science; universe,https://sms.cam.ac.uk/media/1239533
Is the Universe Designed? - a Theist's View,"Talk given by Revd Dr Rodney Holder as part of the science, religion and atheism course",atheism; design; designed; designer; faraday; holder; religion; science; universe,https://sms.cam.ac.uk/media/1240386
"Jesus, Darwin and Ashley Montagu",Research seminar talk given by Prof. Gregory Radick on 11th June 2013,darwin; faraday; jesus; montagu; radick,https://sms.cam.ac.uk/media/1504807
"Jesus, God and Nature in the Gospels",Talk given by Prof. Richard Bauckham as part of short course 11,bauckham; faraday; god; gospel; jesus; nature; religion; science,https://sms.cam.ac.uk/media/1216847
Jewish Perspectives on Personhood,Talk given by Dr Daniel Weiss as part of Summer Course 11,faraday; human; jewish; person; personhood; religion; science; weiss,https://sms.cam.ac.uk/media/2298239
Judaism and the Environment,Talk given by Prof. Laurie Zoloth at the Summer Course 11.,environment; faraday; judaism; religion; science; zoloth,https://sms.cam.ac.uk/media/2302241
Lemaitre and Censorship,"Short talk given by Prof. David Block as part of the Lemaitre Conference, 8th April 2011",block; censorship; david; faraday; lemaitre; religion; science,https://sms.cam.ac.uk/media/1134355
Lemaitre and Hoyle: Contrasting Characters in Science and Religion,Lecture given by Revd Dr Rodney Holder as part of the Lemaitre Conference on 8th April 2011,character; contrasting; faraday; holder; hoyle; lemaitre; religion; rodney; science,https://sms.cam.ac.uk/media/1132639
Lemaitre: Science and Religion,"Lecture given by Dr George Coyne as part of the Lemaitre Conference, 8th April 2011",coyne; faraday; george; lemaitre; religion; science,https://sms.cam.ac.uk/media/1134308
Lemaitre's Prescience: The beginning and end of the cosmos,Lecture given by Prof. Bernard Carr as part of the Lemaitre Conference on 9 April 2011,beginning; bernard; carr; cosmos; end; faraday; lemaitre; prescience; religion; science,https://sms.cam.ac.uk/media/1139969
"Lemaitre, the Big Bang and the Quantum Universe",Lecture given by Prof. Michael Heller as part of the Lemaitre Conference on 8th April 2011,bang; big; faraday; heller; lemaitre; quantum; religion; science; universe,https://sms.cam.ac.uk/media/1132733
"Lemaitre, the Expanding Universe and the Primeval Atom",Lecture given by Prof. Helge Kragh as part of the Lemaitre conference on 8 April 2011,atom; expanding; faraday; helge; kragh; lemaitre; primeval; religion; science; universe,https://sms.cam.ac.uk/media/1132539
Lessons from the Golden Age of Islam & Science,Talk given by Prof. Nidhal Guessoum as part of Summer Course 8,faraday; guessoum; islam; science,https://sms.cam.ac.uk/media/1516635
Living Forever: A Worry for Religious Belief,Research Seminar given by Prof. Julian Hughes,concern; eternal; faith; faraday; forever; hughes; issue; life; religion; science; worry,https://sms.cam.ac.uk/media/2343194
Machines in the Image of God,"CiS - Faraday Public Lecture Thursday 7th March 2013
Prof. Peter Robinson",faraday; god; machines; religion; robinson; science,https://sms.cam.ac.uk/media/1464326
Making Sense of Genesis 1-11,Talk given by Dr Gordon Wenham,bible; creation; faraday; genesis; religion; science; wenham,https://sms.cam.ac.uk/media/1226871
Manufacturing Humans: The Borderlands between human and divine control,"Talk given by Gareth Jones as part of the New Zealand Conference, 2009",control; faraday; god; human; identity; jones; religion; science,https://sms.cam.ac.uk/media/2770901
Material and Immaterial Persons,Talk given by Prof. Dean Zimmerman as part of summer course 3,faraday; immaterial; material; person; religion; science; zimmerman,https://sms.cam.ac.uk/media/1213553
Mathematics and the Beauty of God,"Research Seminar given by Prof. David Watts, 24 October 2017",beauty; faraday; god; maths; religion; science; theology; watts,https://sms.cam.ac.uk/media/2603278
Matters of life and death,Talk given by Professor John Wyatt,death; ethics; faith; faraday institute; life; wyatt,https://sms.cam.ac.uk/media/2425160
Mediaeval Cosmology and the Church,Lecture given by Dr Allan Chapman as part of Faraday Institute Summer Course 4,allan; chapman; church; cosmology; faraday institute; mediaeval; religion; science,https://sms.cam.ac.uk/media/655463
Medical Advances and Ethical Issues at the End of Life,Talk given by Prof. Tim Maughan as part of short course 10,end; ethical; faraday; life; maughan; medical; religion; science,https://sms.cam.ac.uk/media/1220687
Memory and Personhood,"A talk given by Prof Noreen Herzfeld at Summer Course 9, 2014",faraday; herzfeld; memory; religion; science,https://sms.cam.ac.uk/media/1801251
Meta-Stories of Fine-Tuning,Talk given by Revd Dr John Polkinghorne KBE FRS,faraday; fine-tuning; meta-stories; polkinghorne; religion; science,https://sms.cam.ac.uk/media/1212172
"Mind and Matter: The World as ""Representation"" in Quantum Theory",Research Seminar given by Prof. Richard Bell on 18th October 2011,bell; faraday; matter; mind; quantum; religion; representation; science; seminar; world,https://sms.cam.ac.uk/media/1182368
Mind-brain and freewill,Talk given by Dr Harvey McMahon as part of short course 32 (The Believing Brain),belief; brain; faith; faraday; freewill; mcmahon; mind; neuroscience; religion; science,https://sms.cam.ac.uk/media/2150992
"Mind, brain and the search for God","Talk given by Revd Dr Alasdair Coles as part of short course 26, January 2014",body; brain; coles; faraday; god; mind; religion; science; search; soul,https://sms.cam.ac.uk/media/1663340
Models for Relating Science and Religion,"Talk given by Revd Dr John Polkinghorne as part of short course 4, January 2007",dialogue; faraday; models; polkinghorne; religion; science,https://sms.cam.ac.uk/media/2733970
Models for Relating Science and Religion,Talk given by Prof. Mikael Stenmark as part of summer course 1,faraday; model; models; relating; religion; science; stenmark,https://sms.cam.ac.uk/media/1275350
Morality and the Philosophy of Science,"Talk given by Prof. Keith Ward as part of short course 27, April 2014",ethics; faith; faraday; morality; philosophy; religion; science; ward,https://sms.cam.ac.uk/media/1703505
Multiple Reasons for a Multiverse,"Lecture given by Prof. Don Page as part of the Lemaitre Conference, 9th April 2011",don; faraday; lemaitre; multiverse; page; reason; religion; science,https://sms.cam.ac.uk/media/1138490
My Life  in Science and Religion - A Personal Story,"Research Seminar 22nd January 2013
Prof. Antony Hewish FRS",faraday; hewish; religion; science,https://sms.cam.ac.uk/media/1404473
My meandering path within the lands of science and faith,Research seminar talk given by Professor Cees Dekker 09/02/2016,autobiography; biophysics; dekker; faraday; nanotechnology; religion; science,https://sms.cam.ac.uk/media/2177909
Myths an Truths in Science: A Historical Perspective,Public Lecture given by Prof. Ron Numbers,faraday; historical; myths; numbers; religion; science; truth,https://sms.cam.ac.uk/media/1208840
"Nanotechnology, Ethics and Religion",Talk given by Prof Russell Cowburn at Summer Course 8 7-13 July 2013,cowburn; ethics; faraday; nanotechnology; religion; science,https://sms.cam.ac.uk/media/1600639
"Nanotechnology, Ethics and Religion",Research Seminar given by Prof. Russell Cowburn on 9th November 2010,cowburn; ethics; faraday; institute; nanotechnology; religion; research; russell; science; seminar,https://sms.cam.ac.uk/media/1079799
Nanotechnology - Grey Goo or Great God?,Public Lecture given by Prof. Andrew Briggs,briggs; faraday; god; goo; nanotechnology; religion; science,https://sms.cam.ac.uk/media/1212948
Natural Disasters and Acts of God: The impact of unsustainable living,Talk given by Prof. Bob White as part of the Unsustainability Day Conference,act of god; disasters; faraday; living; religion; science; unsustainability; unsustainable; white,https://sms.cam.ac.uk/media/1219073
Natural Disasters and Christian Theology,"Research Seminar given by Dr David Chester (Dept of Geography, University of Liverpool) on 26th May 2009",chester; christian; david; disasters; faraday institute; natural; religion; research seminar; theology,https://sms.cam.ac.uk/media/605060
Naturalism and Evolutionary Theory,Public lecture given by Prof. Elliott Sober,elliott; evolution; faraday; naturalism; religion; science; sober,https://sms.cam.ac.uk/media/1260649
Naturalistic Explanations of Religion: Explaining or Explaining Away?,Talk given by Prof. Jeff Schloss as part of summer  course 2,away; explaining; explanation; faraday; naturalism; naturalistic; religion; schloss; science,https://sms.cam.ac.uk/media/1230526
Natural Theology,Talk given by Revd Dr  John Polkinghorne as part of summer course 1,faraday; natural; polkinghorne; religion; science; theology,https://sms.cam.ac.uk/media/1266086
Natural Theology: A Historical Perspective,A lecture given by Prof. Lawrence Principe as part of Faraday Institute Summer Course 4,faraday institute; historical; lawrence; natural; perspective; principe; religion; science; theology,https://sms.cam.ac.uk/media/655955
Neurological disease and faith,Lecture given by Revd Prof Alasdair Coles as part of short course 33 (Science and Faith in the Local Church),biology; brain; coles; faraday; medicine; neurology; religion; science,https://sms.cam.ac.uk/media/2171063
Neuronal Imaging of the Religious Brain,Research Seminar led by Revd Dr Alasdair Coles on 12th October 2010,alasdair; brain; coles; faraday; imaging; neuronal; religion; science; seminar,https://sms.cam.ac.uk/media/1075974
Neuroscience and Faith,Talk given by Dr Daniel De Haan as part of Summer Course 10,brain; de haan; faith; faraday; neuroscience; religion; science,https://sms.cam.ac.uk/media/2046357
"Neuroscience, the Bible and the Soul","Talk given by Prof. Alasdair Coles and Dr Mike Thompson as part of Short Course 40, Reading the World: Science and Sacred Texts",bible; coles; faraday; medicine; neurology; neuroscience; religion; science; soul; theology; thompson,https://sms.cam.ac.uk/media/2477706
New Approaches to the Origin of Life - Scientific and Theological,Research Seminar talk given by Dr Christopher Southgate 15th October 2013,faraday; origin of life; science; southgate; theological,https://sms.cam.ac.uk/media/1579504
New Surprises in an Ancient Universe,Talk given by Dr Jennifer Wiseman as part of Summer Course 8 (2013),ancient; astrophysics; faraday; religion; science; surprise; universe; wiseman,https://sms.cam.ac.uk/media/1619440
New Testament Eschatology and the Environment,Talk given by Prof. Douglas Moo as part of short course 11,environment; eschatology; faraday; moo; religion; science; testament,https://sms.cam.ac.uk/media/1215480
New Testament Eschatology and the Environment,Talk given by Dr Jonathan Moo as part of short course 13,bible; environment; eschatology; faraday; moo; religion; science; testament,https://sms.cam.ac.uk/media/1217164
Newton and God,Research seminar given by Dr Michael Hoskin,faraday; god; hoskin; newton; religion; science,https://sms.cam.ac.uk/media/1258499
"Newton, Science and Religion",Research Seminar given by Prof. Robert Iliffe on 20th October 2009,faraday institute; iliffe; newton; religion; research seminar; rob; robert; science,https://sms.cam.ac.uk/media/685745
Ordered Disorder in Biology,Talk given by Dr Rhoda Hawkins as part of short course 34 (Biology and Belief),biology; cells; disorder; faraday; hawkins; order; religion; science,https://sms.cam.ac.uk/media/2182827
Origins in Genesis,"Talk given by Prof. John Walton as part of summer course 9, 2014",bible; faraday; genesis; origin; religion; science; theology; walton,https://sms.cam.ac.uk/media/1792956
Our response to natural disasters,Talk given by Revd Dr Roger Abbott at the Science and Faith Workshop 2018,abbott; faith; faraday; natural disasters; science,https://sms.cam.ac.uk/media/2653131
Parkinson's Disease and Faith,Talk given by Revd Prof. Alasdair Coles as part of short course 32 (The Believing Brain),belief; brain; coles; faith; faith; faraday; parkinson's; religion; science,https://sms.cam.ac.uk/media/2166467
Pastoral issues arising from neurological and psychiatric illness,Talk given by Revd Prof. Alasdair Coles as part of short course 38: Science and Faith in the Local Church,church; church; coles; faith; faraday; illness; mental illness; parkinson's; pastoral; psychiatry; religion; science,https://sms.cam.ac.uk/media/2424787
Pastoral reflections on death and dying,"Talk given by Revd Dr Derek Fraser as part of the joint Faraday Institute and Woolf Institute day conference ""Extending life at any cost?""",care; dying; end of life; faraday institute; fraser; hospitals; woolf institute,https://sms.cam.ac.uk/media/2678673
Perfection and Randomness: Lessons from Nanotechnology,Seminar given by Professor Russell Cowburn,christianity; cowburn; faith; faraday; nanotechnology; science,https://sms.cam.ac.uk/media/2859978
Personal Testimonies of Disaster Experience,"Panel of short interviews with Pastor Luc Honorat, Dr Linda Mobula and Revd Ken Taylor, chaired by Revd Dr Roger Abbott",christianity; disasters; faith; faraday; testimonies,https://sms.cam.ac.uk/media/2732324
"Perspectives on Science: A new venture in history, philosophy and ethics of science in post-16 education","Talk given by Dr John Taylor at the Science and Religion in Schools Course, April 2009",education; ethics; faraday; history; philosophy; religion; school; science; taylor,https://sms.cam.ac.uk/media/2765950
"Perspectives on Science: History, philosophy and ethics of science in post-16 education",Lecture given by Dave Allard as part of Short Course 17: Science and Religion in Schools,allard; dave; education; ethics; faraday institute; history; perspectives; philosophy; religion; science,https://sms.cam.ac.uk/media/751635
Physical Infinities - A Substitute for God,Talk given by Dr Peter Bussey as part of short course 6,bussey; faraday; god; infinity; physical; physics; religion; science; substitute,https://sms.cam.ac.uk/media/1254460
"Physician, heal yourself!  Epidemics and compassion","Talk given by Dr Linda Mobula as part of Short Course 47: Disasters, Faith and Resilience",cholera; compassion; disaster; ebola; epidemic; faith; faraday; mobula; religion; science,https://sms.cam.ac.uk/media/2742476
Physics and Faith,Lecture given by Prof. Ian Hutchinson as part of Summer Course 6,6; faith; faraday; hutchinson; physics; religion; science,https://sms.cam.ac.uk/media/1162167
Physics and Philosophy,"Talk given by Dr Jeremy Butterfield as part of short course 27, April 2014",butterfield; faith; faraday; philosophy; physics; religion; science,https://sms.cam.ac.uk/media/1719140
Physics and the Real World,Talk given by Prof. George Ellis as part of summer course 1,ellis; faraday; physics; real; reality; religion; science; world,https://sms.cam.ac.uk/media/1295207
Playing God,Public Lecture given by Prof. Gareth Jones,faraday; god; jones; playing; religion; science,https://sms.cam.ac.uk/media/1213086
Playing God? Towards machines that deny their maker,CiS - Faraday public lecture given by Prof. Rosalind Picard on 2 November 2011,artificial; computer; deny; faraday; god; intelligence; machine; maker; picard; playing; religion; robot; rosalind; science,https://sms.cam.ac.uk/media/1078591
Playing God? Towards machines that deny their maker (with subtitles),CiS - Faraday public lecture given by Prof. Rosalind Picard on 2nd November 2010,artificial; computer; deny; faraday; god; intelligence; machine; maker; picard; playing; religion; robot; rosalind; science,https://sms.cam.ac.uk/media/1093247
Pluripotent Stem Cells: Medical Dream or Ethical Nightmare?,Research Seminar given by Prof. Paul Fairchild on 21st February 2012,ethical; ethics; fairchild; faraday; medical; nightmare; pluripotent; religion; science; stem,https://sms.cam.ac.uk/media/1219052
Population Growth as a Prime Factor in Environmental Unsustainability,Talk given by Prof. John Guillebaud as part of the Unsustainability Day Conference,environment; environmental; faraday; guillebaud; population; religion; science; unsustainability,https://sms.cam.ac.uk/media/1217612
"Power and Responsibility: Science, Humanity and Religion in the 21st Century",Public Lecture given by Chief Rabbi Lord Sacks,faraday; humanity; power; religion; responsibility; sacks; science,https://sms.cam.ac.uk/media/1213076
Psychological Science and the Knowledge of God,Lecture given by Dr Nicholas Gibson as part of Faraday Institute Short Course 15 (Neurosciences and Religion),faraday institute; gibson; god; knowledge; neuroscience; nicholas; psychological; religion; science,https://sms.cam.ac.uk/media/651939
Psychology and Religion: Is there a Ghost in the Machine,"Talk given by John McClure as part of the New Zealand Conference, 2009",faraday; ghost; machine; mcclure; psychology; religion; religion; science; soul,https://sms.cam.ac.uk/media/2770917
Psychology and religious belief,"Talk given by Prof. Justin Barrett at Summer Course 9, 2014",barrett; faraday; psychology; religion; science,https://sms.cam.ac.uk/media/1800457
Quantum Cosmology and its Implications for Theology,Talk given by Prof. Don Page as part of short course 6,cosmology; faraday; god; page; physics; quantum; religion; science; theology,https://sms.cam.ac.uk/media/1255072
Quantum Theory and Being,talk given by Prof. Chris Isham as part of short course6,being; existence; faraday; god; isham; physics; quantum; religion; science,https://sms.cam.ac.uk/media/1255299
"Quantum Theory, Critical Realism and Religious Belief",Talk given by Revd Dr John Polkinghorne as part of short course 6,belief; critical; faraday; god; physics; polkinghorne; quantum; realism; religion; religious; science,https://sms.cam.ac.uk/media/1256717
Raising the next generation with science and faith,Talk given by Lizzie Henderson and Steph Bryant as part of a professional workshop on Science and Faith in the Local Church,bryant; children; faith; faraday; henderson; religion; science; youth,https://sms.cam.ac.uk/media/2664567
Randomness and God in the Biochemical Context,Research Seminar given by Prof Keith Fox on 17th November 2015,faraday; fox; randomness; religion; science,https://sms.cam.ac.uk/media/2114778
Rationality in Science and Religion,A lecture given by Prof. Roger Trigg as part of Faraday Institute Summer Course 4,faraday institute; lecture; rationality; religion; roger; science; trigg,https://sms.cam.ac.uk/media/653785
Rationality in Science and Religion,Talk given by Prof. Roger Trigg as part of Short Course 27,faith; faraday; philosophy; rationality; religion; science; trigg,https://sms.cam.ac.uk/media/1691788
Reading Genesis 1 with Ancient Eyes,Talk given by Prof. John Walton as part of summer course 7,ancient; creation; faraday; genesis; reading; religion; science; understanding; walton,https://sms.cam.ac.uk/media/1283348
Reading the book of Nature: Historical and Contemporary Perspectives on the Laws of Nature,"Talk given by Dr Lydia Jaeger as part of short course 27, April 2014",contemporary; faraday; history; jaeger; laws; nature; philosophy; reading; religion; science,https://sms.cam.ac.uk/media/1714466
Reconciling Neuropsychology and Theology,Talk given by Prof. Warren Brown as par t of summer course 1,brown; faraday; neuropsychology; reconcile; religion; science; theology,https://sms.cam.ac.uk/media/1294638
Relating Theology and Psychology: Distinctive Features and Morphological Principles,Research Seminar given by Revd Dr Fraser Watts,faraday; morphological; psychology; relating; religion; science; theology; watts,https://sms.cam.ac.uk/media/1252959
Religion and Sustainability in Global Perspective,Lecture given by Fazlun Khalid and Elaine Storkey as part of the Sustainability Conference on 28th September 2011,crisis; faraday; global; khalid; perspective; religion; science; storkey; sustainability,https://sms.cam.ac.uk/media/1182214
Religion and the Rise of Modern Science,"Talk given by Prof. Peter Harrison at Summer Course 8, 7 -13th July 2013",faraday; harrison; religion; science,https://sms.cam.ac.uk/media/1555566
Religion and the Rise of Modern Science,A lecture given by Prof. Peter Harrison as part of Summer Course 5,faraday institute; harrison; history; modern; peter; religion; rise; science,https://sms.cam.ac.uk/media/867754
"Religion, Spirituality and Mental Health: Current controversies and Future Directions",Research Seminar given by Prof. Simon Dein on 4 March 2014,controversy; dein; faraday; future; health; medicine; mental; psychiatric; psychiatry; psychological; psychology; religion; science; spirituality,https://sms.cam.ac.uk/media/1667817
"Religion, suffering and bioethics",Talk given by Prof. Laurie Zoloth as part of Summer Course 11,bioethics; ethics; faraday; religion; science; suffering; zoloth,https://sms.cam.ac.uk/media/2324110
Religious Engagements with Climate Change,Talk given by Prof. Mike Hulme as part of Summer Course 13,catholic; climate change; environment; faith; faraday; hulme; protestant; religion; science,https://sms.cam.ac.uk/media/2827288
Religious  Expereince and the Brain,Talk given by Dr Joseph Tennant on the Summer Course 12 - 2017,faraday institute; mystical experience; neurology; religious; science,https://sms.cam.ac.uk/media/2561288
Religious Faith in an Age of Intelligent Machines,Talk given by Dr David Glass as part of Short Course 36,artificial intelligence; faith; faraday; glass; identity; intelligent; machines; reality; religion; religious; robot; science,https://sms.cam.ac.uk/media/2347977
Religious Influences in the Founding of the Royal Society,Public lecture given by Prof. Peter Harrison in collaboration with Christians in Science,chrisians; faraday institute; founding; harrison; influences; peter; religion; religious; royal; science; society,https://sms.cam.ac.uk/media/736647
Religious origins of modern science,Talk given by Prof. Peter Harrison as part of Summer Course 10,faraday; history; history; origin; religion; religious; science; science,https://sms.cam.ac.uk/media/2033830
Religious Responses to Natural Disasters,"Talk given by Dr Erin Joakim at Summer Course 9, 2014",faraday; joakim; natural disasters; religion,https://sms.cam.ac.uk/media/1785513
"Resisting Blind Chance and a 'Senseless' Cosmos: Historical Perspectives on Science, Ethics and Nature",Talk given by Dr Louise Hickman,ethics; faraday; hickman; nature; religion; science,https://sms.cam.ac.uk/media/2675185
Resourcing the Local Church: Bringing Creation Care to the Local Church,"Lecture given by Revd Dave Bookless as part of Faraday Institute Short Course 16: Science, Religion and the Environment for Ordinands",bookless; care; church; creation; dave; environment; faraday institute; local; religion; resourcing; science,https://sms.cam.ac.uk/media/729894
Responses to the New Atheism: A Public Discussion,"Archbishop Rowan Williams and Prof. Terry Eagleton discuss the new atheism on 19th November 2010.  Archbishop Rowan Williams gives a theological response, while Prof. Terry Eagleton gives a political response",archbishop; atheism; eagleton; faraday; political; religion; response; rowan; science; terry; theological; williams,https://sms.cam.ac.uk/media/1082271
Robotics and Artificial Intelligence: secular eschatologies,Talk given by Dr Vinoth Ramachandra as part of Summer Course 11,ai; artificial intelligence; eschatology; faraday; ramachandra; religion; robot; science; secular,https://sms.cam.ac.uk/media/2306978
Science and Christianity: An Historical Sketch,Lecture given by Dr James Hannam as part of short course 18,christianity; faraday; faraday institute; hannam; historical; history; james; religion; science; sketch,https://sms.cam.ac.uk/media/1073962
Science and Christianity: Conflict or Cooperation?,Lecture given by Prof. Roger Trigg,christianity; conflict; cooperation; faraday; religion; science,https://sms.cam.ac.uk/media/2430574
Science and Faith: Friends or Foes?,"Public lecture given by Prof. Henry F. Schaefer, 9 October 2017",enemies; faith; faraday; foes; friends; religion; schaefer; science,https://sms.cam.ac.uk/media/2586730
Science and Faith in the life of Michael Faraday,Research Seminar given by Prof. Colin Russell (now deceased),biography; faith; faraday; religion; russell; science,https://sms.cam.ac.uk/media/2715290
Science and Miracles,Talk given by Prof. Sir Colin Humpreys as part of Summer Course 1,bible; faraday; humphreys; miracles; religion; science,https://sms.cam.ac.uk/media/2719317
Science and Miracles: Perspectives from Christianity and Islam,Research seminar given by Dr Hilary Marlow and Dr Caroline Tee,bible; christianity; faraday; islam; marlow; qu'ran; religion; science; tee,https://sms.cam.ac.uk/media/2770865
Science and mission in local congregations,Talk given by Rev Dr Victoria Johnson  as part of short course 33 (Science and Faith in the Local Church),church; faraday; johnson; mission; religion; science,https://sms.cam.ac.uk/media/2171146
Science and Natural Theology,Research Seminar given by Revd Dr Rodney Holder on 20th October 2015,faraday; holder; religion; science,https://sms.cam.ac.uk/media/2093735
