title,description,keywords,url
Biology and Natural Theology,Talk given by Prof. Alister McGrath as part of short course 34 (Biology and Belief),belief; biology; faraday; mcgrath; natural theology; religion; science; theology,https://sms.cam.ac.uk/media/2183409
Biology and personhood,Talk given by Dr David Lahti at Summer Course 11.,biology; faraday; human; lahti; personhood; religion; science,https://sms.cam.ac.uk/media/2294508
Biology and Worldviews: From Natural Theology to the Evolutionary Epic,"Public Lecture given by Prof. Peter Harrison, Friday 20th September 2013.",biology; faraday; harrison; religion; science,https://sms.cam.ac.uk/media/1562113
Biology in the service of Natural Theology,A research seminar given by Dr Jonathan Topham on 9 February 2010,biology; faraday institute; jonathan; natural; religion; research seminar; science; theology; topham,https://sms.cam.ac.uk/media/737271
Bionic Persons: The Ethics of Enhancing Humans,Talk given by Philippa Taylor as part of short course 10,bionic; enhancement; ethics; faraday; human; religion; science; taylor,https://sms.cam.ac.uk/media/1219898
Boosting the Brain: how far would you go?,"Cambridge Festival of Ideas Panel Discussion with Prof. Barbara Sahakian, Prof. Raymond Tallis, Revd Dr Alasdair Coles and Dr Pete Moore",brain; coles; faraday; festival of ideas; moore; sahakian; tallis,https://sms.cam.ac.uk/media/1588406
Brain Determinism and Free Will,Research Seminar given by Prof. Peter Clarke on 8th February,brain; clarke; determinism; faraday; free; peter; religion; science; will,https://sms.cam.ac.uk/media/1096515
Brain Imaging and Religious Experience,Lecture given by Dr Alasdair Coles as part of Summer Course 5,5; alasdair; brain; coles; experience; faraday institute; imaging; psychology; religion; religious; science; summer course,https://sms.cam.ac.uk/media/871165
"Brain, Mind and Free-Will: Did my neurons make me do it?",Talk given by Prof. Bill Newsome as part of summer course 7,brain; compel; faraday; force; free-will; mind; neurology; neuron; neuroscience; newsome; religion; science,https://sms.cam.ac.uk/media/1282617
Brains and Persons,Talk given by Dr Stuart Judge as part of short course 1,brains; faraday; judge; persons; religion; science,https://sms.cam.ac.uk/media/1267196
